addr_hex	xrefs_in	xrefs_out_count	prev_is_ret	has_push_rbp	padding_nop_run	window2_xrefs_in	window2_xrefs_out	window6_xrefs_in	window6_xrefs_out	ng_push_mov	ng_push_mov_sub	align16
0x4010e0	0	0	0	0	0	0	1	0	2	0	0	1
0x4011ad	0	0	0	0	0	0	1	0	1	1	0	0
0x401200	1	0	0	0	0	1	0	1	0	0	0	1
0x401280	0	0	0	0	0	0	0	0	1	0	0	1
0x401300	0	0	0	0	0	0	0	0	0	0	0	1
0x401310	0	0	0	0	0	0	0	0	0	0	0	1
0x401320	0	0	0	0	0	0	0	0	1	0	0	1
0x401370	0	0	0	0	0	0	0	0	0	0	0	1
0x401390	0	0	0	0	0	0	0	0	0	0	0	1
0x4013d0	0	0	0	0	0	0	0	0	0	0	0	1
0x401430	0	0	0	0	0	0	1	1	1	0	0	1
0x401500	0	0	0	0	0	0	0	0	1	0	0	1
