binary,start,end,name
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198400,4198423,_DT_INIT
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198432,4198444,FUN_00401020
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198448,4198454,puts
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198464,4198470,srand
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198480,4198486,__isoc23_scanf
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198496,4198502,time
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198512,4198518,rand
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198528,4198562,entry
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198576,4198577,FUN_004010b0
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198592,4198625,FUN_004010c0
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198640,4198689,FUN_004010f0
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198704,4198737,_FINI_0
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198752,4198758,_INIT_0
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198758,4198964,FUN_00401166
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4198964,4198973,_DT_FINI
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214784,4214785,__libc_start_main
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214792,4214793,puts
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214800,4214801,srand
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214808,4214809,__isoc23_scanf
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214816,4214817,__gmon_start__
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214824,4214825,time
rosetta_v06_00629_Guess-the-number_guess-the-number_stripped,4214832,4214833,rand
